Team,Rider
BABY YODA - OSF,LUND ANDRESEN Tobias
BABY YODA - OSF,BRENNER Marco
BABY YODA - OSF,DOUBLE Paul
BABY YODA - OSF,GAROFOLI Gianmarco
BABY YODA - OSF,TORRES ARIAS Pablo
BERGERO CORSE,POGACAR Tadej
BERGERO CORSE,ONLEY Oscar
BERGERO CORSE,MILAN Jonathan
BERGERO CORSE,SOLER GIMENEZ Marc
BERGERO CORSE,HERRADA LOPEZ Jesus
BERGERO CORSE,RYAN Archie
BERGERO CORSE,MAROLT Jaka
BERGERO CORSE,CONSONNI Simone
BERGERO CORSE,GIAIMI Luca
DAINESTO PAGILLO,GODON Dorian
DAINESTO PAGILLO,LANDA MEANA Mikel
DAINESTO PAGILLO,LAPORTE Christophe
DAINESTO PAGILLO,ACKERMANN Pascal
DAINESTO PAGILLO,COSTA Rui Alberto Faria
DAINESTO PAGILLO,WILLIAMS Stephen
DPJ,VAUQUELIN Kévin
DPJ,ALAPHILIPPE Julian
DPJ,SIVAKOV Pavel
DPJ,WITHEN PHILIPSEN Albert
DPJ,MADOUAS Valentin
DPJ,KRISTOFF Alexander
DPJ,RODRIGUEZ CANO Carlos
DPJ,VAN UDEN Casper
DPJ,LEONARD Michael
DPJ,SVRCEK Martin
GIANCICLI WW,LAURANCE Axel
GIANCICLI WW,TILLER Rasmus Fossum
GIANCICLI WW,PARET PEINTRE Valentin
GIANCICLI WW,GAUDU David
GIANCICLI WW,KRIJNSEN Jelte
GONDAVERI,UIJTDEBROEKS Cian
GONDAVERI,MARTIN GUYONNET Guillaume
GONDAVERI,BLACKMORE Joseph
GONDAVERI,ZINGLE Axel
GONDAVERI,HATHERLY Alan
GONDAVERI,POLITT Nils
GONDAVERI,VALJAVEC Erazem
GONDAVERI,ROWE Elliot
GONDAVERI,MATTIO Pietro
LEGNANO,BRENNAN Matthew
LEGNANO,CRABBE Tom
LEGNANO,HOBBS Noah
MARTINONE UNO,COVI Alessandro
MARTINONE UNO,TARLING Joshua
MARTINONE UNO,ASKEY Lewis
MARTINONE UNO,WELSFORD Sam
MARTINONE UNO,POOLE Max
MARTINONE UNO,FREDHEIM Stian
MARTINONE UNO,KOPECKY Matyas
MARTINONE UNO,OMRZEL Jakob
MASTRO BIRRAIO GCP,ROGLIC Primoz
MASTRO BIRRAIO GCP,MEEUS Jordi
MASTRO BIRRAIO GCP,DEL GROSSO Tibor
MASTRO BIRRAIO GCP,MENTEN Milan
MASTRO BIRRAIO GCP,KÄMNA Lennard
MASTRO BIRRAIO GCP,KUBIS Lukas
MASTRO BIRRAIO GCP,MARIT Arne
PANETTERIA BERGERO,HOFSTETTER Hugo
PANETTERIA BERGERO,DAINESE Alberto
PANETTERIA BERGERO,GLOAG Thomas
PANETTERIA BERGERO,BUSATTO Francesco
PANETTERIA BERGERO,AFFINI Edoardo
PANETTERIA BERGERO,TUCKWELL Luke
PANETTERIA BERGERO,JAKOBSEN Fabio
OFFICINA BOCCETTINI CC,ALBANESE Vincenzo
OFFICINA BOCCETTINI CC,CORT NIELSEN Magnus
OFFICINA BOCCETTINI CC,LAFAY Victor
OFFICINA BOCCETTINI CC,MULUBRHAN Henok
OFFICINA BOCCETTINI CC,STEINHAUSER Georg
OFFICINA BOCCETTINI CC,THOMAS Benjamin
OFFICINA BOCCETTINI CC,VINGEGAARD HANSEN Jonas
OFFICINA BOCCETTINI CC,ZANA Filippo
OFFICINA BOCCETTINI CC,WATSON Samuel
S. PIETROBAUDO,ALMEIDA Joao Pedro Gonçalves
S. PIETROBAUDO,VINE Jay
S. PIETROBAUDO,JEANNIERE Emilien
S. PIETROBAUDO,TURNER Ben
S. PIETROBAUDO,BAUHAUS Phil
S. PIETROBAUDO,BUCHMANN Emanuel
S. PIETROBAUDO,VLASOV Aleksandr
S. PIETROBAUDO,STAUNE-MITTET Johannes
SANROMARIANO,GIRMAY HAILU Biniam
SANROMARIANO,HAYTER Ethan
SANROMARIANO,ADRIA OLIVERAS Roger
TOPINA M.B.,RICCITELLO Matthew
TOPINA M.B.,KUSS Sepp
TOPINA M.B.,BISIAUX Léo
TOPINA M.B.,ØRN-KRISTOFF Felix
